Module_Name,Module_Description,Activity_Name,Parent_Activity_Name,Activity_Description,Activity_Type,Day,StartTime,EndTime,StartDate,WeekLabel,WeekPattern,Location,Location_Description
ACST8061_S2,Enterprise Risk Management 2,ACST8061_S2 Lecture01/ 001,ACST8061_S2 Lecture01/ 001,Lecture A,Lecture,Monday,14:00,16:00,07/20/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,CBE Bld LT 2,_CBE Bld Lecture Theatre 2
ACST8061_S2,Enterprise Risk Management 2,ACST8061_S2 Lecture02/ 001,ACST8061_S2 Lecture02/ 001,Lecture B,Lecture,Thursday,12:00,13:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,CBE Bld LT 2,_CBE Bld Lecture Theatre 2
ANCH1014_S2,Rome: Republic to Empire,ANCH1014_S2 Lecture01/ 001,ANCH1014_S2 Lecture01/ 001,,Lecture,Tuesday,12:00,13:00,07/21/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,COP G031,_Copland Building Room G031
ANCH1014_S2,Rome: Republic to Empire,ANCH1014_S2 Lecture02/ 001,ANCH1014_S2 Lecture02/ 001,,Lecture,Wednesday,12:00,13:00,07/22/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,JD 102,_John Dedman Building Room 102
ANCH1014_S2,Rome: Republic to Empire,ANCH1014_S2 Tutorial01/ 001,ANCH1014_S2 Tutorial01/ 001,,Tutorial,Friday,11:00,12:00,07/24/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G41,_A.D. Hope G41 Classics Seminar Room
ANCH1014_S2,Rome: Republic to Empire,ANCH1014_S2 Tutorial01/ 002,ANCH1014_S2 Tutorial01/ 002,,Tutorial,Friday,12:00,13:00,07/24/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G41,_A.D. Hope G41 Classics Seminar Room
ANCH1014_S2,Rome: Republic to Empire,ANCH1014_S2 Tutorial01/ 003,ANCH1014_S2 Tutorial01/ 003,,Tutorial,Thursday,11:00,12:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,LAW G12,_Law Building Room G12
ANCH2016_S2,Bad neighbours: Law and life in ancient Athens,ANCH2016_S2^ANCH6502_S2 Lecture01/ 001 ,ANCH2016_S2 Lecture01/ 001,Lecture,Lecture,Tuesday,11:00,12:00,07/21/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MCC T4,_Manning Clark Centre (Video Conferencing) Theatrette 4
ANCH2016_S2,Bad neighbours: Law and life in ancient Athens,ANCH2016_S2^ANCH6502_S2 Tutorial01/ 001 ,ANCH2016_S2 Tutorial01/ 001,Tutorial,Tutorial,Wednesday,13:00,15:00,07/22/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MH G051,_Melville Hall G051
ANCH2016_S2,Bad neighbours: Law and life in ancient Athens,ANCH2016_S2^ANCH6502_S2 Tutorial01/ 002 ,ANCH2016_S2 Tutorial01/ 002,Tutorial,Tutorial,Thursday,15:00,17:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MH G051,_Melville Hall G051
ANCH2016_S2,Bad neighbours: Law and life in ancient Athens,ANCH2016_S2^ANCH6502_S2 Tutorial01/ 003 ,ANCH2016_S2 Tutorial01/ 003,Tutorial,Tutorial,Friday,09:00,11:00,07/24/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MH G051,_Melville Hall G051
ANCH2023_X4,"State, sanctuary and community: archaeology of settlement and memory in ancient Greece",ANCH6023_X4^ANCH2023_X4 Class01/ 001 ,ANCH2023_X4 Class01/ 001,Class,Class,Monday,09:00,17:00,11/23/2015,47,0000000000000000000000000000000000000000000000100000,BPB W121,_Baldessin Precinct Building Room W121
ANCH2023_X4,"State, sanctuary and community: archaeology of settlement and memory in ancient Greece",ANCH6023_X4^ANCH2023_X4 Class02/ 001 ,ANCH2023_X4 Class02/ 001,Class,Class,Tuesday,09:00,17:00,11/24/2015,47,0000000000000000000000000000000000000000000000100000,BPB W121,_Baldessin Precinct Building Room W121
ANCH2023_X4,"State, sanctuary and community: archaeology of settlement and memory in ancient Greece",ANCH6023_X4^ANCH2023_X4 Class03/ 001 ,ANCH2023_X4 Class03/ 001,Class,Class,Wednesday,09:00,17:00,11/25/2015,47,0000000000000000000000000000000000000000000000100000,BPB W121,_Baldessin Precinct Building Room W121
ANCH2023_X4,"State, sanctuary and community: archaeology of settlement and memory in ancient Greece",ANCH6023_X4^ANCH2023_X4 Class04/ 001 ,ANCH2023_X4 Class04/ 001,Class,Class,Thursday,09:00,17:00,11/26/2015,47,0000000000000000000000000000000000000000000000100000,BPB W121,_Baldessin Precinct Building Room W121
ANCH2023_X4,"State, sanctuary and community: archaeology of settlement and memory in ancient Greece",ANCH6023_X4^ANCH2023_X4 Class05/ 001 ,ANCH2023_X4 Class05/ 001,Class,Class,Friday,09:00,17:00,11/27/2015,47,0000000000000000000000000000000000000000000000100000,BPB W121,_Baldessin Precinct Building Room W121
ANCH6023_X4,"State, sanctuary and community: archaeology of settlement and memory in ancient Greece",ANCH6023_X4^ANCH2023_X4 Class01/ 001 ,ANCH6023_X4 Class01/ 001,Class,Class,Monday,09:00,17:00,11/23/2015,47,0000000000000000000000000000000000000000000000100000,BPB W121,_Baldessin Precinct Building Room W121
ANCH6023_X4,"State, sanctuary and community: archaeology of settlement and memory in ancient Greece",ANCH6023_X4^ANCH2023_X4 Class02/ 001 ,ANCH6023_X4 Class02/ 001,Class,Class,Tuesday,09:00,17:00,11/24/2015,47,0000000000000000000000000000000000000000000000100000,BPB W121,_Baldessin Precinct Building Room W121
ANCH6023_X4,"State, sanctuary and community: archaeology of settlement and memory in ancient Greece",ANCH6023_X4^ANCH2023_X4 Class03/ 001 ,ANCH6023_X4 Class03/ 001,Class,Class,Wednesday,09:00,17:00,11/25/2015,47,0000000000000000000000000000000000000000000000100000,BPB W121,_Baldessin Precinct Building Room W121
ANCH6023_X4,"State, sanctuary and community: archaeology of settlement and memory in ancient Greece",ANCH6023_X4^ANCH2023_X4 Class04/ 001 ,ANCH6023_X4 Class04/ 001,Class,Class,Thursday,09:00,17:00,11/26/2015,47,0000000000000000000000000000000000000000000000100000,BPB W121,_Baldessin Precinct Building Room W121
ANCH6023_X4,"State, sanctuary and community: archaeology of settlement and memory in ancient Greece",ANCH6023_X4^ANCH2023_X4 Class05/ 001 ,ANCH6023_X4 Class05/ 001,Class,Class,Friday,09:00,17:00,11/27/2015,47,0000000000000000000000000000000000000000000000100000,BPB W121,_Baldessin Precinct Building Room W121
ANCH6502_S2,Bad neighbours: evidence of Athenian life from 4th century law-court speeches,ANCH2016_S2^ANCH6502_S2 Lecture01/ 001 ,ANCH6502_S2 Lecture01/ 001,Lecture,Lecture,Tuesday,11:00,12:00,07/21/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MCC T4,_Manning Clark Centre (Video Conferencing) Theatrette 4
ANCH6502_S2,Bad neighbours: evidence of Athenian life from 4th century law-court speeches,ANCH2016_S2^ANCH6502_S2 Tutorial01/ 001 ,ANCH6502_S2 Tutorial01/ 001,Tutorial,Tutorial,Wednesday,13:00,15:00,07/22/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MH G051,_Melville Hall G051
ANCH6502_S2,Bad neighbours: evidence of Athenian life from 4th century law-court speeches,ANCH2016_S2^ANCH6502_S2 Tutorial01/ 002 ,ANCH6502_S2 Tutorial01/ 002,Tutorial,Tutorial,Thursday,15:00,17:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MH G051,_Melville Hall G051
ANCH6502_S2,Bad neighbours: evidence of Athenian life from 4th century law-court speeches,ANCH2016_S2^ANCH6502_S2 Tutorial01/ 003 ,ANCH6502_S2 Tutorial01/ 003,Tutorial,Tutorial,Friday,09:00,11:00,07/24/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MH G051,_Melville Hall G051
ANTH1003_S2,Global and Local,ANTH1003_S2 Class01/ 001,ANTH1003_S2 Class01/ 001,Class Meeting,Class,Thursday,09:00,11:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,HA G053,_Haydon-Allen Building Room G053
ANTH1003_S2,Global and Local,ANTH1003_S2 Class01/ 002,ANTH1003_S2 Class01/ 002,Class Meeting,Class,Thursday,11:00,13:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,HA G053,_Haydon-Allen Building Room G053
ANTH1003_S2,Global and Local,ANTH1003_S2 Class01/ 003,ANTH1003_S2 Class01/ 003,Class Meeting,Class,Thursday,14:00,16:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,HA G040,_Haydon-Allen Building Room G040
ANTH1003_S2,Global and Local,ANTH1003_S2 Lecture01/ 001,ANTH1003_S2 Lecture01/ 001,Lecture,Lecture,Tuesday,16:00,17:00,07/21/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,HA T,_Haydon-Allen Theatre (The Tank)
ANTH1004_S2,Introduction to Indigenous Australian Studies,ANTH1004_S2 Lecture01/ 001,ANTH1004_S2 Lecture01/ 001,Lecture,Lecture,Monday,12:00,14:00,07/20/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,HA G052,_Haydon-Allen Building Room G052
ANTH1004_S2,Introduction to Indigenous Australian Studies,ANTH1004_S2 Tutorial01/ 001,ANTH1004_S2 Tutorial01/ 001,Tutorial,Tutorial,Monday,14:00,15:00,07/20/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G30,_A. D. Hope Building Room G30
ANTH1004_S2,Introduction to Indigenous Australian Studies,ANTH1004_S2 Tutorial01/ 002,ANTH1004_S2 Tutorial01/ 002,Tutorial,Tutorial,Monday,15:00,16:00,07/20/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G30,_A. D. Hope Building Room G30
ANTH2004_S2,"Religion, Ritual and Cosmology",ANTH2004_S2 Tutorial01/ 001,ANTH2004_S2 Tutorial01/ 001,,Tutorial,Thursday,10:00,11:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G19,_A. D. Hope Building Room G19 
ANTH2004_S2,"Religion, Ritual and Cosmology",ANTH2004_S2^ANTH6004_S2 Lecture01/ 001,ANTH2004_S2 Lecture01/ 002,Lecture,Lecture,Wednesday,15:00,17:00,07/22/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MCC T4,_Manning Clark Centre (Video Conferencing) Theatrette 4
ANTH2017_S2,Indigenous Australians and Australian Society Today,ANTH2017_S2^ANTH6017_S2 Lecture01/ 001 ,ANTH2017_S2 Lecture01/ 001,Lecture,Lecture,Thursday,10:00,12:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MH G051,_Melville Hall G051
ANTH2017_S2,Indigenous Australians and Australian Society Today,ANTH2017_S2^ANTH6017_S2 Tutorial01/ 001 ,ANTH2017_S2 Tutorial01/ 001,Tutorial,Tutorial,Thursday,12:00,13:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G19,_A. D. Hope Building Room G19 
ANTH2017_S2,Indigenous Australians and Australian Society Today,ANTH2017_S2^ANTH6017_S2 Tutorial01/ 002 ,ANTH2017_S2 Tutorial01/ 002,Tutorial,Tutorial,Thursday,14:00,15:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G19,_A. D. Hope Building Room G19 
ANTH2017_S2,Indigenous Australians and Australian Society Today,ANTH2017_S2^ANTH6017_S2 Tutorial01/ 003 ,ANTH2017_S2 Tutorial01/ 003,Tutorial,Tutorial,Thursday,17:00,18:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G19,_A. D. Hope Building Room G19 
ANTH2057_S2,Culture and Person,ANTH2057_S2 Tutorial01/ 001,ANTH2057_S2 Tutorial01/ 001,,Tutorial,Wednesday,13:00,14:00,07/22/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G28,_A. D. Hope Building Room G28 
ANTH2057_S2,Culture and Person,ANTH2057_S2 Tutorial01/ 002,ANTH2057_S2 Tutorial01/ 002,,Tutorial,Thursday,11:00,12:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G12,_A. D. Hope Building Room G12
ANTH2057_S2,Culture and Person,ANTH2057_S2 Tutorial01/ 003,ANTH2057_S2 Tutorial01/ 003,,Tutorial,Thursday,12:00,13:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G12,_A. D. Hope Building Room G12
ANTH2057_S2,Culture and Person,ANTH2057_S2^ANTH6057_S2 Lecture01/ 001 ,ANTH2057_S2 Lecture01/ 001,Lecture,Lecture,Wednesday,11:00,13:00,07/22/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MH G051,_Melville Hall G051
ANTH2065_S2,"Sex, Gender and Finance",ANTH2065_S2 Film01/ 001,ANTH2065_S2 Film01/ 001,Optional Film Screening,Film,Tuesday,16:00,18:00,07/21/2015,"29, 31, 33, 35, 38, 40, 43",0000000000000000000000000000101010100101001000000000,MCC T5,_Manning Clark Centre Theatrette 5
ANTH2065_S2,"Sex, Gender and Finance",ANTH2065_S2 Lecture01/ 001,ANTH2065_S2 Lecture01/ 001,Lecture,Lecture,Wednesday,12:00,15:00,07/22/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,COP G031,_Copland Building Room G031
ANTH2067_S2,Doing Ethnography: Practicum on Applied Anthropology,ANTH2067_S2 Lecture01/ 001,ANTH2067_S2 Lecture01/ 001,,Lecture,Tuesday,14:00,15:00,07/21/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,COP G039,_Copland Building Tutorial Room G039
ANTH2067_S2,Doing Ethnography: Practicum on Applied Anthropology,ANTH2067_S2 Practical01/ 001,ANTH2067_S2 Practical01/ 001,,Practical,Thursday,10:00,12:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,COP G039,_Copland Building Tutorial Room G039
ANTH2130_S2,Violence and Terror,ANTH2130_S2 Tutorial01/ 001,ANTH2130_S2 Tutorial01/ 001,Tutorial Group 1,Tutorial,Thursday,10:00,11:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G28,_A. D. Hope Building Room G28 
ANTH2130_S2,Violence and Terror,ANTH2130_S2 Tutorial01/ 002,ANTH2130_S2 Tutorial01/ 002,Tutorial Group 2,Tutorial,Thursday,11:00,12:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G28,_A. D. Hope Building Room G28 
ANTH2130_S2,Violence and Terror,ANTH2130_S2 Tutorial01/ 003,ANTH2130_S2 Tutorial01/ 003,Tutorial Group 3,Tutorial,Thursday,12:00,13:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G28,_A. D. Hope Building Room G28 
ANTH2130_S2,Violence and Terror,ANTH2130_S2^ANTH6516_S2 Lecture01/ 001,ANTH2130_S2 Lecture01/ 002,Lecture,Lecture,Wednesday,14:00,16:00,07/22/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,JD 102,_John Dedman Building Room 102
ANTH2132_S2,Food for Thought: Anthropological theories of food and eating,ANTH2132_S2 Tutorial01/ 001,ANTH2132_S2 Tutorial01/ 001,,Tutorial,Tuesday,13:00,14:00,07/21/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G28,_A. D. Hope Building Room G28 
ANTH2132_S2,Food for Thought: Anthropological theories of food and eating,ANTH2132_S2 Tutorial01/ 002,ANTH2132_S2 Tutorial01/ 002,,Tutorial,Tuesday,15:00,16:00,07/21/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G28,_A. D. Hope Building Room G28 
ANTH2132_S2,Food for Thought: Anthropological theories of food and eating,ANTH2132_S2^ANTH6518_S2 Lecture01/ 001 ,ANTH2132_S2 Lecture01/ 001,Lecture,Lecture,Tuesday,10:00,12:00,07/21/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MORAN G007,_Moran Building Room G007
ANTH2133_S2,Social Animals: anthropological perspectives on animal-human relationships,ANTH2133_S2 Tutorial01/ 001,ANTH2133_S2 Tutorial01/ 001,,Tutorial,Tuesday,14:00,15:00,07/21/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G28,_A. D. Hope Building Room G28 
ANTH2133_S2,Social Animals: anthropological perspectives on animal-human relationships,ANTH2133_S2^ANTH6519_S2 Lecture01/ 001,ANTH2133_S2 Lecture01/ 002,Lecture,Lecture,Thursday,14:00,16:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MCC T5,_Manning Clark Centre Theatrette 5
ANTH4005F_S2,Anthropology IV Honours (S),ANTH4005F_S2^ANTH4005P_S2 Class01/ 001 ,ANTH4005F_S2 Class01/ 001,Class,Class,Friday,10:00,12:00,07/24/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G28,_A. D. Hope Building Room G28 
ANTH4005P_S2,Anthropology IV Honours (S),ANTH4005F_S2^ANTH4005P_S2 Class01/ 001 ,ANTH4005P_S2 Class01/ 001,Class,Class,Friday,10:00,12:00,07/24/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G28,_A. D. Hope Building Room G28 
ANTH6004_S2,"Religion, Ritual and Cosmology",ANTH2004_S2^ANTH6004_S2 Lecture01/ 001,ANTH6004_S2 Lecture01/ 002,Lecture,Lecture,Wednesday,15:00,17:00,07/22/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MCC T4,_Manning Clark Centre (Video Conferencing) Theatrette 4
ANTH6004_S2,"Religion, Ritual and Cosmology",ANTH6004_S2 Tutorial/ 001,ANTH6004_S2 Tutorial/ 001,,Tutorial,Thursday,16:00,17:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G19,_A. D. Hope Building Room G19 
ANTH6017_S2,Indigenous Australians and Australian Society Today,ANTH2017_S2^ANTH6017_S2 Lecture01/ 001 ,ANTH6017_S2 Lecture01/ 001,Lecture,Lecture,Thursday,10:00,12:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MH G051,_Melville Hall G051
ANTH6017_S2,Indigenous Australians and Australian Society Today,ANTH2017_S2^ANTH6017_S2 Tutorial01/ 001 ,ANTH6017_S2 Tutorial01/ 001,Tutorial,Tutorial,Thursday,12:00,13:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G19,_A. D. Hope Building Room G19 
ANTH6017_S2,Indigenous Australians and Australian Society Today,ANTH2017_S2^ANTH6017_S2 Tutorial01/ 002 ,ANTH6017_S2 Tutorial01/ 002,Tutorial,Tutorial,Thursday,14:00,15:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G19,_A. D. Hope Building Room G19 
ANTH6017_S2,Indigenous Australians and Australian Society Today,ANTH2017_S2^ANTH6017_S2 Tutorial01/ 003 ,ANTH6017_S2 Tutorial01/ 003,Tutorial,Tutorial,Thursday,17:00,18:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G19,_A. D. Hope Building Room G19 
ANTH6057_S2,Culture and Person,ANTH2057_S2^ANTH6057_S2 Lecture01/ 001 ,ANTH6057_S2 Lecture01/ 001,Lecture,Lecture,Wednesday,11:00,13:00,07/22/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MH G051,_Melville Hall G051
ANTH6057_S2,Culture and Person,ANTH6057_S2 Tutorial/ 001,ANTH6057_S2 Tutorial/ 001,,Tutorial,Wednesday,17:00,18:00,07/22/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G28,_A. D. Hope Building Room G28 
ANTH6067_S2,Ties That Bind: The Anthropology of Kinship and Relatedness,ANTH2024_S2^ANTH6067_S2 Lecture01/ 001,ANTH6067_S2 Lecture01/ 001,Lecture,Lecture,Tuesday,12:00,14:00,07/21/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MCC T6,_Manning Clark Centre Theatrette 6
ANTH6067_S2,Ties That Bind: The Anthropology of Kinship and Relatedness,ANTH6067_S2 Tutorial/ 001,ANTH6067_S2 Tutorial/ 001,Tutorial,Tutorial,Tuesday,17:00,18:00,07/21/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G12,_A. D. Hope Building Room G12
ANTH6516_S2,Violence and Terror,ANTH2130_S2^ANTH6516_S2 Lecture01/ 001,ANTH6516_S2 Lecture01/ 002,Lecture,Lecture,Wednesday,14:00,16:00,07/22/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,JD 102,_John Dedman Building Room 102
ANTH6516_S2,Violence and Terror,ANTH6516_S2 Tutorial/ 001,ANTH6516_S2 Tutorial/ 001,Tutorial,Tutorial,Wednesday,16:00,17:00,07/22/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G19,_A. D. Hope Building Room G19 
ANTH6518_S2,Food for Thought: Anthropological theories of food and eating,ANTH2132_S2^ANTH6518_S2 Lecture01/ 001 ,ANTH6518_S2 Lecture01/ 001,Lecture,Lecture,Tuesday,10:00,12:00,07/21/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MORAN G007,_Moran Building Room G007
ANTH6518_S2,Food for Thought: Anthropological theories of food and eating,ANTH6518_S2 Tutorial/ 001,ANTH6518_S2 Tutorial/ 001,,Tutorial,Tuesday,11:00,12:00,07/21/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G12,_A. D. Hope Building Room G12
ANTH6519_S2,Social Animals: anthropological perspectives on animal-human relationships,ANTH2133_S2^ANTH6519_S2 Lecture01/ 001,ANTH6519_S2 Lecture01/ 002,Lecture,Lecture,Thursday,14:00,16:00,07/23/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,MCC T5,_Manning Clark Centre Theatrette 5
ANTH6519_S2,Social Animals: anthropological perspectives on animal-human relationships,ANTH6519_S2 Tutorial/ 001,ANTH6519_S2 Tutorial/ 001,,Tutorial,Friday,11:00,12:00,07/24/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,ADH G12,_A. D. Hope Building Room G12
ANTH8007_S2,Key Concepts in Anthropology of Development,ANTH8007_S2 Lecture01/ 001 Wk 1 only,ANTH8007_S2 Lecture01/ 001 Wk 1 only,Lecture Week 1 only,Lecture,Thursday,14:00,16:00,07/23/2015,29,0000000000000000000000000000100000000000000000000000,ADH G28,_A. D. Hope Building Room G28 
ANTH8007_S2,Key Concepts in Anthropology of Development,ANTH8007_S2 Lecture01/ 001 Wk 2 onwards,ANTH8007_S2 Lecture01/ 001 Wk 2 onwards,Change to new location: HN G058 Hanna Neumann Bld  ,Lecture,Thursday,14:00,16:00,07/30/2015,"30-35, 38-43",0000000000000000000000000000011111100111111000000000,ADH G12,_A. D. Hope Building Room G12
ANTH8008_S2,Social Impact Studies in Project Cycle,ANTH8008_S2^ANTH8028_S2 Lecture01/ 001,ANTH8008_S2 Lecture01/ 001,,Lecture,Monday,15:00,18:00,07/20/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,Crawford Seminar Room 1,_Crawford Seminar Room WEH Stanner Bld Rm 1.01
ANTH8008_S2,Social Impact Studies in Project Cycle,ANTH8008_S2^ANTH8028_S2 Lecture02/ 001,ANTH8008_S2 Lecture02/ 001,,Lecture,Tuesday,15:00,18:00,07/21/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,Crawford Griffin Room,_Crawford Griffin Room CR Bld Rm 1.60
ANTH8028_S2,Introduction to Social Impact Studies,ANTH8008_S2^ANTH8028_S2 Lecture01/ 001,ANTH8028_S2 Lecture01/ 001,,Lecture,Monday,15:00,18:00,07/20/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,Crawford Seminar Room 1,_Crawford Seminar Room WEH Stanner Bld Rm 1.01
ANTH8028_S2,Introduction to Social Impact Studies,ANTH8008_S2^ANTH8028_S2 Lecture02/ 001,ANTH8028_S2 Lecture02/ 001,,Lecture,Tuesday,15:00,18:00,07/21/2015,"29-35, 38-43",0000000000000000000000000000111111100111111000000000,Crawford Griffin Room,_Crawford Griffin Room CR Bld Rm 1.60
